"author","comment","publishedAt","score"
"JOJOK SUPRIYADI","update trus stiap mau buka","2025-12-10 05:04:13","3"
"Hakim BLitz","mantap","2025-12-10 05:04:08","5"
"Adit Adit","sangat membantu","2025-12-10 04:53:20","5"
"Danang Fajar Setiawan","cukup membantu","2025-12-10 04:53:13","4"
"Rizad Octaviano","ok","2025-12-10 04:51:50","5"
"Billy Susanto","sangat mempermudah tanpa harus tanya2 HRD hehe","2025-12-10 04:51:08","5"
"Ferry Efendi","bagus","2025-12-10 04:34:39","5"
"Nini Limz","aplikasi GK bisa sama sekali","2025-12-10 04:29:03","1"
"Acen Yosie","good","2025-12-10 04:19:12","5"
"Adit Machmud","bagus","2025-12-10 04:19:07","5"
"Gancok","mantap pokoknya pelayan ramah","2025-12-10 04:18:55","5"
"Zadri Zadri","Bagus","2025-12-10 04:18:26","3"
"Umbu Emzon","sangat bagus","2025-12-10 04:01:34","5"
"Ziauddin Fikri","Sangat puas","2025-12-10 04:01:14","5"
"odix stya","ok baik","2025-12-10 03:56:56","5"
"Hilmi ahmad Zakka","aplikasi membagongkan utk log in susah banget","2025-12-10 03:55:41","1"
"aditya permana","mantap","2025-12-10 03:39:48","5"
"Hamdan Dan","sangat mudah untuk kita lakukan","2025-12-10 03:35:01","5"
"Andi Anti1992","knp saya tdk bisa buka aplikasi jmo di hp sy","2025-12-10 03:34:20","5"
"makhrus ali","mantabz kaleee","2025-12-10 03:31:04","5"
"Fikri Adam","baik","2025-12-10 03:23:14","5"
"Firmansyah Maulana","sangat oke banget 👍","2025-12-10 03:20:29","5"
"Tomy Byes","apk bosokk, banyak bug","2025-12-10 03:18:19","1"
"Rezkiya Ardian","bagus","2025-12-10 03:17:51","5"
"Krisna suta","terbaikkk","2025-12-10 03:02:55","5"
"Haris Ahmad","puas","2025-12-10 03:02:28","5"
"Rudiana ebreg","nice","2025-12-10 03:01:54","5"
"Hanni Giel","Bagus","2025-12-10 03:00:15","4"
"Regass Ngampell","sangat bagus","2025-12-10 02:54:23","4"
"Paskalis Abi","good","2025-12-10 02:53:26","5"
"Ghiran Maulidin","terbaik","2025-12-10 02:45:01","5"
"Ke Cik","oke","2025-12-10 02:43:21","5"
"Robert Ardy","mantap","2025-12-10 02:39:32","5"
"Dan Pasodung","simpel dan mudah digunakan","2025-12-10 02:36:35","5"
"Nur Fatimah","ok mantap","2025-12-10 02:35:46","5"
"djoko santoso","Mantap","2025-12-10 02:26:43","5"
"Mohamad Rizki Pratama","aplikasi berfungsi dengan baik","2025-12-10 02:20:41","5"
"Atin Wae","sangat mudah diakses gak ribet thebest","2025-12-10 02:13:05","5"
"Rusli Aja","sangat tepat","2025-12-10 01:58:51","4"
"Silva Pebriani","mudah cairr","2025-12-10 01:57:51","5"
"Eman Sulaeman","mantul pisan","2025-12-10 01:56:39","5"
"Febrianto97 Febrianto97","bagus","2025-12-10 01:55:54","5"
"Erlang Bustomi","Ok","2025-12-10 01:46:48","5"
"Kapamenan Menan","trims bravo","2025-12-10 01:45:29","5"
"Putri Nasari","mantul","2025-12-10 01:43:37","5"
"Yusrizal Sansino","Ok sekali.","2025-12-10 01:33:06","5"
"ADMN SSC SBY","simple dan jelas untuk semua keperluannya jd sangat membantu skli","2025-12-10 01:23:41","5"
"Adhy Lede","terbaik","2025-12-10 01:16:26","5"
"Aulia Fuad Rifai","keren lah","2025-12-10 01:09:48","5"
"Ariee cahyo","mudah dan praktis","2025-12-10 01:08:37","5"
"Jelmina Melati","sangat bagus👍","2025-12-10 01:03:09","5"
"Hendrawan Sulistyanto","setelah update gabisa login. tolong segera perbaiki update: sudah bisa login","2025-12-10 01:01:41","4"
"adammlydn29","ok","2025-12-10 01:01:20","5"
"ACHMAD ABDUL MAJID","sangat membantu","2025-12-10 00:54:21","5"
"Marqiza","semoga jhtku cair","2025-12-10 00:40:56","5"
"Dhe Mia","terbaik","2025-12-10 00:23:29","4"
"Yusuf Mulyadi","sangat membantu","2025-12-10 00:22:29","5"
"Mas Munib","aplikasi nya kok tidak sinkron ya, banyak yang tidak tertera,, saya bayar lewat E-walet sudah masuk tapi gak ada di riwayat iuran jmo,, dan yang bikin bingung saya selalu bayar 3 program termasuk jht, tapi di aplikasi ini saya tertera belum terdaftar di jht.. ini gimana sih??? ,, tolong perbaiki aplikasi ini, Sebaik-baik nya...","2025-12-10 00:16:31","5"
"rauf saikadiro78","good trus tingkat kan pelayanan","2025-12-10 00:16:27","5"
"Sihotang Situmorang","aplikasi ini sangat membantu, dan karena bisa lihat saldo yg tiap bulan bertambah, jadi buat kita tambah semangat kerja, dan tetap bertahan di kerjaan sekarang, agar saldo tiap bulan tambah terus, 🤭 anggap aja nabung yg jadi deposito, bonus dapat jaminan kesehatan love love banget deh pokok nya 😘","2025-12-10 00:07:36","5"
"Al Badali","mantap","2025-12-10 00:04:26","5"
"rasikh fakhrizals","keren","2025-12-09 23:49:11","5"
"Made Derizreydiv","lumayan bagus informasi nya","2025-12-09 23:43:42","4"
"Moh Sholihin","bismillah semoga bermanfaat","2025-12-09 23:39:42","5"
"yulita suwarsih","Semoga bisa slalu Membantu kami ,","2025-12-09 23:35:31","5"
"Tasimin Min","sangat pembantu","2025-12-09 23:22:54","5"
"Dedi Darison","sangat membantu peserts","2025-12-09 22:58:14","5"
"Dina Andyka","mantap","2025-12-09 22:07:11","5"
"Nanang Wahyudin","Ok","2025-12-09 21:51:05","5"
"Sutini Sutini","tidak dapat mengakses jmo","2025-12-09 21:28:32","1"
"MUH ICHSAN","bagus","2025-12-09 21:13:33","3"
"Wibowo Purnamaaji","mantab","2025-12-09 20:50:35","4"
"Ade Irawan","bermanfaat dan mudah untuk di akses","2025-12-09 19:39:50","5"
